timestamp,ro_reject_tds,ro_reject_temperature,ro_reject_level,ro_reject_flow,rainwater_tds,rainwater_temperature,rainwater_level,rainwater_flow,blend_ratio_ro,blend_ratio_rain,blended_tds,blended_temperature,blended_level,blended_flow,target_tds,use_case,is_optimal,anomaly_detected,tds_change_rate,predicted_tds_60s
2025-01-01T00:00:00,1051.07,28.39,64.83,2.201,53.37,23.87,54.64,3.028,0.87,0.13,921.4,27.5,48.46,2.27,700,toilet,0,0,-0.4558,889.28
2025-01-01T00:02:00,1080.79,27.85,67.85,2.507,51.12,23.69,55.79,3.088,0.46,0.54,524.8,26.1,53.35,2.977,400,toilet,0,0,-0.4327,493.33
2025-01-01T00:04:00,1054.32,27.41,66.78,2.467,48.14,23.78,52.9,2.676,0.95,0.05,1004.0,27.63,51.57,2.53,2000,floor_cleaning,0,0,-0.8619,958.45
2025-01-01T00:06:00,996.27,27.71,66.77,2.56,51.66,23.66,57.45,2.891,0.5,0.5,524.0,25.25,52.02,2.92,400,toilet,0,0,0.1517,537.28
2025-01-01T00:08:00,1127.07,28.16,64.17,2.394,55.73,23.44,55.71,3.061,0.95,0.05,1073.5,28.53,52.44,2.251,1000,floor_cleaning,1,0,-0.1955,1063.14
2025-01-01T00:10:00,1117.76,28.87,65.05,2.568,54.52,24.16,53.74,2.995,0.95,0.05,1064.6,28.32,52.13,3.03,2000,floor_cleaning,0,0,-0.1307,1056.62
2025-01-01T00:12:00,1091.23,28.39,64.93,2.246,52.69,24.29,51.86,3.542,0.95,0.05,1039.3,27.51,49.34,2.286,2000,floor_cleaning,0,0,-0.134,1037.5
2025-01-01T00:14:00,1026.64,28.43,65.62,2.468,55.24,25.02,56.2,2.879,0.9,0.1,929.5,27.3,53.35,2.618,700,toilet,0,0,0.1945,936.18
2025-01-01T00:16:00,1089.85,28.94,68.84,2.921,59.23,23.77,54.72,2.838,0.45,0.55,523.0,26.51,48.58,2.858,400,toilet,0,0,0.0969,537.55
2025-01-01T00:18:00,1006.74,29.03,68.15,2.807,56.0,24.34,55.59,2.7,0.95,0.05,959.2,28.86,47.25,2.577,1000,toilet,1,0,0.454,982.81
2025-01-01T00:20:00,1056.69,27.68,65.99,2.677,50.17,25.09,55.41,3.054,0.47,0.53,523.2,26.13,50.78,2.887,400,toilet,0,0,0.1131,527.54
2025-01-01T00:22:00,1061.57,29.51,66.36,2.633,55.28,24.22,55.77,3.379,0.95,0.05,1011.3,29.77,51.83,2.821,2000,floor_cleaning,0,0,-0.1114,1005.84
2025-01-01T00:24:00,1065.12,28.17,65.82,2.712,58.34,24.66,56.59,2.933,0.95,0.05,1014.8,28.15,52.74,2.65,1000,floor_cleaning,1,0,-0.0373,1014.83
2025-01-01T00:26:00,1134.13,28.83,68.0,2.64,49.73,25.03,58.56,2.96,0.44,0.56,526.9,26.69,52.77,2.75,400,toilet,0,0,-0.2072,514.78
2025-01-01T00:28:00,1079.99,28.84,65.75,2.9,54.48,25.34,55.56,3.07,0.95,0.05,1028.7,28.47,52.3,2.919,2000,floor_cleaning,0,0,0.102,1034.66
2025-01-01T00:30:00,1079.46,28.7,69.31,2.056,56.02,24.36,57.34,2.532,0.45,0.55,516.6,26.28,51.65,2.242,400,toilet,0,0,0.4601,551.39
2025-01-01T00:32:00,1098.93,29.6,68.1,2.358,52.38,24.26,58.68,2.935,0.95,0.05,1046.6,28.98,54.41,2.355,1000,floor_cleaning,1,0,0.2488,1061.55
2025-01-01T00:34:00,1083.04,26.87,70.71,2.578,55.44,24.68,59.1,3.452,0.85,0.15,928.9,26.29,54.84,2.924,700,toilet,0,0,-0.1188,915.19
2025-01-01T00:36:00,1166.75,28.86,72.23,2.518,54.39,25.32,58.8,2.952,0.42,0.58,521.6,26.8,51.58,2.751,400,toilet,0,0,0.2022,529.53
2025-01-01T00:38:00,1161.56,29.39,68.6,2.497,61.91,25.32,58.88,3.034,0.95,0.05,1106.6,29.11,51.89,2.449,1000,floor_cleaning,1,0,-0.0209,1099.02
2025-01-01T00:40:00,1102.31,29.06,72.77,2.689,58.88,24.34,59.43,2.727,0.83,0.17,924.9,28.54,53.64,3.024,700,toilet,0,0,-0.3278,909.79
2025-01-01T00:42:00,1120.81,28.72,68.53,2.345,59.02,25.67,55.07,2.998,0.81,0.19,919.1,27.46,57.12,2.435,700,toilet,0,0,0.0494,921.3
2025-01-01T00:44:00,1109.64,28.6,72.99,2.348,59.71,24.08,58.26,3.42,0.44,0.56,521.7,26.4,54.01,3.051,400,toilet,0,0,0.6383,554.56
2025-01-01T00:46:00,1182.6,29.46,70.2,2.392,54.1,24.76,59.41,3.033,0.95,0.05,1126.2,28.95,56.22,2.406,2000,floor_cleaning,0,0,0.1378,1133.55
2025-01-01T00:48:00,1145.71,29.15,72.27,2.463,59.03,25.17,58.7,2.794,0.95,0.05,1091.4,29.43,56.79,2.494,2000,floor_cleaning,0,0,0.0841,1090.87
2025-01-01T00:50:00,1141.94,29.58,69.39,2.804,55.15,25.04,60.85,3.513,0.95,0.05,1087.6,29.14,55.87,2.655,2000,floor_cleaning,0,0,-0.0802,1086.87
2025-01-01T00:52:00,1085.01,29.64,71.46,2.6,51.09,25.47,57.54,2.535,0.95,0.05,1033.3,28.96,56.31,2.567,2000,floor_cleaning,0,0,0.1944,1046.49
2025-01-01T00:54:00,1065.83,29.08,73.32,2.392,54.15,25.28,55.05,2.969,0.95,0.05,1015.2,28.46,52.87,2.34,1000,floor_cleaning,1,0,0.2085,1020.13
2025-01-01T00:56:00,1113.33,29.04,72.27,2.542,57.48,25.53,59.96,2.924,0.95,0.05,1060.5,28.44,52.75,2.465,1500,floor_cleaning,0,0,0.2019,1077.19
2025-01-01T00:58:00,1186.09,30.37,70.62,2.761,54.26,25.18,62.89,2.911,0.95,0.05,1129.5,29.79,55.88,2.644,2000,floor_cleaning,0,0,0.1414,1130.94
2025-01-01T01:00:00,1194.23,29.44,75.57,2.37,54.23,24.52,56.49,2.986,0.95,0.05,1137.2,29.52,58.29,2.21,2000,floor_cleaning,0,0,0.1546,1148.63
2025-01-01T01:02:00,1105.01,29.66,71.24,2.515,61.0,24.99,58.76,2.739,0.44,0.56,520.4,27.59,55.18,2.842,400,toilet,0,0,-0.0296,516.87
2025-01-01T01:04:00,1090.84,30.0,72.28,2.569,52.55,25.63,57.79,2.813,0.95,0.05,1038.9,30.06,55.01,2.586,2000,floor_cleaning,0,0,-0.5878,1008.62
2025-01-01T01:06:00,1127.26,29.62,71.53,2.388,57.0,25.24,62.26,3.214,0.95,0.05,1073.7,29.45,57.74,2.199,1500,floor_cleaning,0,0,0.3681,1095.04
2025-01-01T01:08:00,1194.54,29.24,73.29,2.428,53.13,25.61,61.1,3.169,0.95,0.05,1137.5,28.82,58.54,2.316,1000,floor_cleaning,1,0,0.3449,1160.07
2025-01-01T01:10:00,1115.56,29.82,73.99,1.664,55.49,24.77,62.81,3.068,0.44,0.56,521.9,26.57,55.52,2.474,400,toilet,0,0,0.0897,529.41
2025-01-01T01:12:00,1119.78,29.09,74.54,2.804,58.95,24.93,58.47,2.751,0.43,0.57,515.1,26.85,57.16,2.493,400,toilet,0,0,-0.3273,485.75
2025-01-01T01:14:00,1104.85,28.8,76.81,2.585,62.67,25.45,59.8,2.934,0.95,0.05,1052.7,28.39,56.49,2.442,2000,floor_cleaning,0,0,0.3578,1075.74
2025-01-01T01:16:00,1144.24,29.66,74.4,2.474,56.1,25.59,59.56,3.092,0.95,0.05,1089.8,29.0,57.25,2.602,1500,floor_cleaning,0,0,-0.0512,1088.95
2025-01-01T01:18:00,1102.24,29.25,74.94,2.481,56.95,25.9,58.53,3.424,0.83,0.17,924.5,29.0,52.95,2.558,700,toilet,0,0,-0.181,918.64
2025-01-01T01:20:00,1134.05,30.55,74.29,2.622,58.71,26.04,63.18,2.791,0.95,0.05,1080.3,30.73,57.94,2.41,2000,floor_cleaning,0,0,0.0362,1079.85
2025-01-01T01:22:00,1098.53,28.91,75.38,2.618,60.78,25.25,60.15,2.763,0.95,0.05,1046.6,28.56,59.09,2.622,2000,floor_cleaning,0,0,-0.1969,1039.19
